"date","agegroup","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_notfull_vac_rate_per100K","cases_full_vac_rate_per100K","cases_boost_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_notfull_vac_rate_7ma","cases_full_vac_rate_7ma","cases_boost_vac_rate_7ma"
2021-09-13,"0-11yrs",6.24,0.00,,0.00,,,,,,
2021-09-13,"60-79yrs",9.62,0.00,,0.49,,,,,,
2021-09-13,"80+",13.64,0.00,,0.64,,,,,,
2021-09-14,"0-11yrs",4.80,5.58,,0.00,,,,,,
2021-09-14,"60-79yrs",7.57,1.17,,0.61,,,,,,
2021-09-14,"80+",13.76,0.00,,0.80,,,,,,
2021-09-15,"0-11yrs",4.75,0.00,,0.00,,,,,,
2021-09-15,"60-79yrs",11.01,2.38,,0.65,,,,,,
2021-09-15,"80+",5.56,0.00,,1.45,,,,,,
2021-09-16,"0-11yrs",7.24,0.00,,0.00,,,,,,
2021-09-16,"60-79yrs",14.06,3.61,,1.40,,,,,,
2021-09-16,"80+",16.84,0.00,,0.96,,,,,,
2021-09-17,"0-11yrs",6.58,10.47,,0.00,,,,,,
2021-09-17,"60-79yrs",13.74,2.43,,1.33,,,,,,
2021-09-17,"80+",0.00,0.00,,1.28,,,,,,
2021-09-18,"0-11yrs",7.63,10.31,,0.00,,,,,,
2021-09-18,"60-79yrs",9.95,3.68,,1.48,,,,,,
2021-09-18,"80+",8.60,0.00,,1.12,,,,,,
2021-09-19,"0-11yrs",8.40,0.00,,0.00,,6.52,3.77,,0.00,
2021-09-19,"60-79yrs",13.05,3.71,,1.29,,11.29,2.43,,1.04,
2021-09-19,"80+",11.56,0.00,,2.08,,9.99,-0.00,,1.19,
2021-09-20,"0-11yrs",6.58,5.11,,0.00,,6.57,4.50,,0.00,
2021-09-20,"60-79yrs",10.04,6.20,,1.13,,11.35,3.31,,1.13,
2021-09-20,"80+",8.73,0.00,,1.44,,9.29,0.00,,1.30,
2021-09-21,"0-11yrs",5.69,0.00,,0.00,,6.70,3.70,,0.00,
2021-09-21,"60-79yrs",13.14,4.97,,0.98,,12.14,3.85,,1.18,
2021-09-21,"80+",8.81,0.00,,1.28,,8.59,0.00,,1.37,
2021-09-22,"0-11yrs",4.70,0.00,,0.00,,6.69,3.70,,0.00,
2021-09-22,"60-79yrs",9.27,1.25,,1.02,,11.89,3.69,,1.23,
2021-09-22,"80+",5.95,0.00,,1.76,,8.64,0.00,,1.42,
2021-09-23,"0-11yrs",7.57,0.00,,0.00,,6.74,3.70,,0.00,
2021-09-23,"60-79yrs",11.57,5.05,,1.21,,11.54,3.90,,1.21,
2021-09-23,"80+",24.08,10.04,,0.96,,9.68,1.43,,1.42,
2021-09-24,"0-11yrs",7.36,0.00,,0.00,,6.85,2.20,,0.00,
2021-09-24,"60-79yrs",14.92,0.00,,0.87,,11.71,3.55,,1.14,
2021-09-24,"80+",63.69,0.00,,1.76,,18.77,1.43,,1.49,
2021-09-25,"0-11yrs",6.06,5.48,,0.00,,6.62,1.51,,-0.00,
2021-09-25,"60-79yrs",9.05,3.86,,1.13,,11.58,3.58,,1.09,
2021-09-25,"80+",22.08,0.00,,1.12,,20.70,1.43,,1.49,
2021-09-26,"0-11yrs",7.30,5.68,,0.00,,6.47,2.32,,-0.00,
2021-09-26,"60-79yrs",14.58,2.59,,0.79,,11.80,3.42,,1.02,
2021-09-26,"80+",45.57,0.00,,0.96,,25.56,1.43,,1.33,
2021-09-27,"0-11yrs",7.02,0.00,,0.00,,6.53,1.59,,-0.00,
2021-09-27,"60-79yrs",14.65,6.50,,1.09,,12.45,3.46,,1.01,
2021-09-27,"80+",23.39,0.00,,1.59,,27.65,1.43,,1.35,
2021-09-28,"0-11yrs",4.15,5.87,,0.00,,6.31,2.43,,-0.00,
2021-09-28,"60-79yrs",14.17,0.00,,0.49,,12.60,2.75,,0.94,
2021-09-28,"80+",24.26,5.13,,0.96,,29.86,2.17,,1.30,
2021-09-29,"0-11yrs",4.32,12.00,,0.00,,6.25,4.15,,-0.00,
2021-09-29,"60-79yrs",11.82,3.96,,0.68,,12.97,3.14,,0.89,
2021-09-29,"80+",25.41,0.00,,0.48,,32.64,2.17,,1.12,
2021-09-30,"0-11yrs",7.02,0.00,,0.00,,6.18,4.15,,-0.00,
2021-09-30,"60-79yrs",18.87,1.33,,1.09,,14.01,2.61,,0.88,
2021-09-30,"80+",26.61,0.00,,0.95,,33.00,0.73,,1.12,
2021-10-01,"0-11yrs",6.12,0.00,,0.00,,6.00,4.15,,-0.00,
2021-10-01,"60-79yrs",15.87,4.03,,1.42,,14.14,3.18,,0.96,
2021-10-01,"80+",41.92,5.19,,1.27,,29.89,1.47,,1.05,
2021-10-02,"0-11yrs",7.58,0.00,,0.00,,6.22,3.36,,-0.00,
2021-10-02,"60-79yrs",12.18,5.43,,1.46,,14.59,3.41,,1.00,
2021-10-02,"80+",44.07,0.00,,2.22,,33.03,1.47,,1.20,
2021-10-03,"0-11yrs",5.33,0.00,,0.00,,5.93,2.55,,-0.00,
2021-10-03,"60-79yrs",10.97,1.37,,1.24,,14.08,3.23,,1.07,
2021-10-03,"80+",76.76,0.00,,1.59,,37.49,1.47,,1.29,
2021-10-04,"0-11yrs",5.61,0.00,,0.00,,5.73,2.55,,-0.00,
2021-10-04,"60-79yrs",15.56,0.00,,1.16,,14.21,2.30,,1.08,
2021-10-04,"80+",111.6,0.00,,1.74,,50.09,1.47,,1.32,
2021-10-05,"0-11yrs",4.71,0.00,,0.00,,5.81,1.71,,-0.00,
2021-10-05,"60-79yrs",10.47,0.00,,0.67,,13.68,2.30,,1.10,
2021-10-05,"80+",66.97,0.00,,0.79,,56.19,0.74,,1.29,
2021-10-06,"0-11yrs",4.55,0.00,,0.00,,5.85,0.00,,-0.00,
2021-10-06,"60-79yrs",19.19,1.40,,1.34,,14.73,1.94,,1.20,
2021-10-06,"80+",17.73,0.00,,0.16,,55.09,0.74,,1.25,
2021-10-07,"0-11yrs",6.12,0.00,,0.00,,5.72,0.00,,0.00,
2021-10-07,"60-79yrs",22.77,2.82,,1.31,,15.29,2.15,,1.23,
2021-10-07,"80+",0.00,10.61,,1.11,,51.29,2.26,,1.27,
2021-10-08,"0-11yrs",5.16,9.47,,0.00,,5.58,1.35,,0.00,
2021-10-08,"60-79yrs",25.72,2.85,,1.60,,16.69,1.98,,1.25,
2021-10-08,"80+",61.19,0.00,,0.95,,54.05,1.52,,1.22,
2021-10-09,"0-11yrs",7.24,0.00,,0.00,,5.53,1.35,,0.00,
2021-10-09,"60-79yrs",21.20,2.89,,1.19,,17.98,1.62,,1.22,
2021-10-09,"80+",131.8,5.37,,1.11,,66.58,2.28,,1.06,
2021-10-10,"0-11yrs",5.05,10.98,,0.00,,5.49,2.92,,0.00,
2021-10-10,"60-79yrs",14.48,0.00,,1.12,,18.48,1.42,,1.20,
2021-10-10,"80+",70.24,0.00,,0.79,,65.65,2.28,,0.95,
2021-10-11,"0-11yrs",4.32,0.00,,0.00,,5.31,2.92,,0.00,
2021-10-11,"60-79yrs",19.41,2.92,,1.30,,19.03,1.84,,1.22,
2021-10-11,"80+",124.6,0.00,,0.63,,67.50,2.28,,0.79,
2021-10-12,"0-11yrs",4.26,0.00,,0.00,,5.24,2.92,,0.00,
2021-10-12,"60-79yrs",11.88,1.47,,1.26,,19.24,2.05,,1.30,
2021-10-12,"80+",53.62,0.00,,1.42,,65.60,2.28,,0.88,
2021-10-13,"0-11yrs",3.81,0.00,,0.00,,5.14,2.92,,0.00,
2021-10-13,"60-79yrs",7.78,0.00,,0.67,,17.61,1.85,,1.21,
2021-10-13,"80+",89.18,0.00,,0.95,,75.80,2.28,,0.99,
2021-10-14,"0-11yrs",3.31,0.00,,9.09,,4.74,2.92,,1.30,
2021-10-14,"60-79yrs",15.71,2.99,,1.37,,16.60,1.87,,1.22,
2021-10-14,"80+",164.6,0.00,,2.05,,99.32,0.77,,1.13,
2021-10-15,"0-11yrs",4.43,0.00,,0.00,,4.63,1.57,,1.30,
2021-10-15,"60-79yrs",19.45,1.51,,1.08,,15.70,1.68,,1.14,
2021-10-15,"80+",36.35,0.00,,1.42,,95.77,0.77,,1.20,
2021-10-16,"0-11yrs",4.88,0.00,,0.00,,4.29,1.57,,1.30,
2021-10-16,"60-79yrs",17.46,3.04,,1.15,,15.17,1.70,,1.14,
2021-10-16,"80+",207.3,0.00,,0.00,,106.6,0.00,,1.04,
2021-10-17,"0-11yrs",4.21,0.00,,0.00,,4.17,0.00,,1.30,
2021-10-17,"60-79yrs",10.99,3.07,,1.63,,14.67,2.14,,1.21,
2021-10-17,"80+",231.8,5.49,,2.05,,129.6,0.78,,1.22,
2021-10-18,"0-11yrs",4.21,0.00,,0.00,,4.16,-0.00,,1.30,
2021-10-18,"60-79yrs",15.45,1.54,,0.74,,14.10,1.95,,1.13,
2021-10-18,"80+",0.00,5.50,,0.63,,111.8,1.57,,1.22,
2021-10-19,"0-11yrs",3.98,0.00,,0.00,,4.12,-0.00,,1.30,
2021-10-19,"60-79yrs",8.16,4.64,,0.78,,13.57,2.40,,1.06,
2021-10-19,"80+",0.00,0.00,,0.31,,104.2,1.57,,1.06,
2021-10-20,"0-11yrs",3.20,0.00,,0.00,,4.03,0.00,,1.30,
2021-10-20,"60-79yrs",9.00,0.00,,0.48,,13.75,2.40,,1.03,
2021-10-20,"80+",224.2,5.54,,0.00,,123.5,2.36,,0.92,
2021-10-21,"0-11yrs",4.15,17.23,,0.00,,4.15,2.46,,-0.00,
2021-10-21,"60-79yrs",12.12,1.58,,1.00,,13.23,2.20,,0.98,
2021-10-21,"80+",388.7,0.00,,0.47,,155.5,2.36,,0.70,
2021-10-22,"0-11yrs",4.93,0.00,,0.00,,4.22,2.46,,-0.00,
2021-10-22,"60-79yrs",15.32,1.59,,1.22,,12.64,2.21,,1.00,
2021-10-22,"80+",447.8,5.61,,0.47,,214.3,3.16,,0.56,
2021-10-23,"0-11yrs",3.98,0.00,,0.00,,4.09,2.46,,-0.00,
2021-10-23,"60-79yrs",6.20,1.61,,0.41,,11.03,2.00,,0.89,
2021-10-23,"80+",533.3,5.63,,0.47,,260.8,3.97,,0.63,
2021-10-24,"0-11yrs",4.31,0.00,,0.00,,4.11,2.46,,-0.00,
2022-03-31,"0-4yrs",,,15.35,0.00,0.00,,,15.35,0.00,0.00
2022-03-31,"12-17yrs",,,12.05,16.56,15.06,,,12.05,16.56,15.06
2022-03-31,"18-39yrs",,,12.18,19.05,38.63,,,12.18,19.05,38.63
2022-03-31,"40-59yrs",,,11.11,16.24,26.36,,,11.11,16.24,26.36
2022-03-31,"5-11yrs",,,11.01,19.07,0.00,,,11.01,19.07,0.00
2022-03-31,"60+",,,33.70,12.58,13.70,,,33.70,12.58,13.70
2022-03-31,"ALL",,,13.33,17.24,24.22,,,13.33,17.24,24.22
